constituency_code,candidate,party,constituency,state,runner_votes
S25172,DR. RANA CHATTERJEE,All India Trinamool Congress,SHIBPUR,WEST BENGAL,73557
S2572,ADHIR RANJAN CHOWDHURY,Indian National Congress,BAHARAMPUR,WEST BENGAL,73540
S2550,LIPIKA BARMAN GHOSH,All India Trinamool Congress,MALDAHA,WEST BENGAL,73528
S25117,ADITI MUNSHI,All India Trinamool Congress,RAJARHAT  GOPALPUR,WEST BENGAL,73520
S25106,SOMENATH SHYAM ICHINI,All India Trinamool Congress,JAGATDAL,WEST BENGAL,73442
S25109,DEVADEEP PUROHIT,All India Trinamool Congress,KHARDAHA,WEST BENGAL,73266
S25100,JYOTI PRIYA MALLICK,All India Trinamool Congress,HABRA,WEST BENGAL,73183
S2527,REENA TOPNO EKKA,All India Trinamool Congress,PHANSIDEWA,WEST BENGAL,72978
S25189,Indranil Sen,All India Trinamool Congress,CHANDANNAGAR,WEST BENGAL,72832
S2512,SUMAN KANJILAL,All India Trinamool Congress,ALIPURDUARS,WEST BENGAL,72822
S2565,PRONAB CHANDRA DAS,All India Trinamool Congress,NABAGRAM,WEST BENGAL,72820
S2586,BRAJAKISHORE GOSWAMI,All India Trinamool Congress,SANTIPUR,WEST BENGAL,72565
S25240,SUSHANTA MAHATO,All India Trinamool Congress,BAGHMUNDI,WEST BENGAL,71846
S2587,TAPAS KUMAR GHOSH,All India Trinamool Congress,RANAGHAT UTTAR PASCHIM,WEST BENGAL,71495
S25128,BIKASH SARDAR,Bharatiya Janata Party,BASANTI,WEST BENGAL,71314
S2536,SABITA BARMAN,Bharatiya Janata Party,ITAHAR,WEST BENGAL,70294
S25185,SIRSANYA BANDOPADHYAY,All India Trinamool Congress,UTTARPARA,WEST BENGAL,70197
S2567,PROTIMA RAJAK,All India Trinamool Congress,BURWAN,WEST BENGAL,69361
S2557,MAHABIR GHOSH,Bharatiya Janata Party,SUTI,WEST BENGAL,68973
S2540,CHINTAMANI BIHA,All India Trinamool Congress,TAPAN,WEST BENGAL,68793
S2519,RANJAN SIL SHARMA,All India Trinamool Congress,DABGRAM-FULBARI,WEST BENGAL,68585
S2566,ASHIS MARJIT,All India Trinamool Congress,KHARGRAM,WEST BENGAL,68415
S25121,PIYARUL ISLAM,All India Secular Front,HAROA,WEST BENGAL,68250
S2529,CHITRAJIT ROY,Bharatiya Janata Party,ISLAMPUR,WEST BENGAL,68054
S2573,BIJOY SEKH,Aam Janata Unnayan party,HARIHARPARA,WEST BENGAL,67673
S25279,HARERAM SINGH,All India Trinamool Congress,JAMURIA,WEST BENGAL,67636
S2576,IANUS ALI SARKAR,Communist Party of India (Marxist),JALANGI,WEST BENGAL,67168
S25104,SANAT DEY,All India Trinamool Congress,NAIHATI,WEST BENGAL,67054
S25168,ATIN GHOSH,All India Trinamool Congress,KASHIPUR-BELGACHHIA,WEST BENGAL,66717
S2582,SAIKAT SARKAR,Bharatiya Janata Party,CHAPRA,WEST BENGAL,66305
S25164,PARTHA CHAUDHURY,Bharatiya Janata Party,BELEGHATA,WEST BENGAL,65181
S2546,RATAN DAS,Bharatiya Janata Party,HARISCHANDRAPUR,WEST BENGAL,64833
