constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S04240,BIHAR,SIKANDRA,PRAPHULL KUMAR MANJHI,Hindustani Awam Morcha (Secular),91603,UDAY NARAIN CHOUDHARY,Rashtriya Janata Dal,67696,23907
S0432,BIHAR,BENIPATTI,VINOD NARAYAN JHA,Bharatiya Janata Party,87153,NALINI RANJAN JHA ALIAS RUPAN JHA,Indian National Congress,63221,23932
S04211,BIHAR,NOKHA,NAGENDRA CHANDRAVANSHI,Janata Dal (United),93193,ANITA DEVI,Rashtriya Janata Dal,69139,24054
S04225,BIHAR,GURUA,UPENDRA PRASAD,Bharatiya Janata Party,99758,VINAY KUMAR,Rashtriya Janata Dal,75564,24194
S04205,BIHAR,BHABUA,BHARAT BIND,Bharatiya Janata Party,80039,BIRENDRA KUMAR SINGH,Rashtriya Janata Dal,55624,24415
S04102,BIHAR,KUCHAIKOTE,AMRENDRA KUMAR PANDEY,Janata Dal (United),101425,HARI NARAYAN SINGH,Indian National Congress,76934,24491
S0483,BIHAR,DARBHANGA,SANJAY SARAOGI,Bharatiya Janata Party,97453,UMESH SAHANI,Vikassheel Insaan Party,72860,24593
S04179,BIHAR,BARH,SIYARAM SINGH,Bharatiya Janata Party,99446,KARNVEER SINGH YADAV,Rashtriya Janata Dal,74633,24813
S04168,BIHAR,LAKHISARAI,VIJAY KUMAR SINHA,Bharatiya Janata Party,122408,AMARESH KUMAR,Indian National Congress,97468,24940
S0446,BIHAR,NARPATGANJ,DEVANTI YADAV,Bharatiya Janata Party,120557,MANISH YADAV,Rashtriya Janata Dal,95204,25353
S04158,BIHAR,NATHNAGAR,MITHUN KUMAR,Lok Janshakti Party (Ram Vilas),118143,SHEIKH ZEYAUL HASSAN,Rashtriya Janata Dal,92719,25424
S04208,BIHAR,SASARAM,SNEHLATA,Rashtriya Lok Morcha,105006,SATENDRA SAH,Rashtriya Janata Dal,79563,25443
S04170,BIHAR,BARBIGHA,DR. KUMAR PUSPANJAY,Janata Dal (United),61882,TRISHULDHARI SINGH,Indian National Congress,36389,25493
S0440,BIHAR,LAUKAHA,SATISH KUMAR SAH,Janata Dal (United),111761,BHARAT BHUSHAN MANDAL,Rashtriya Janata Dal,86250,25511
S04121,BIHAR,PARSA,KARISHMA,Rashtriya Janata Dal,89093,CHHOTE LAL RAI,Janata Dal (United),63321,25772
S04233,BIHAR,ATRI,ROMIT KUMAR,Hindustani Awam Morcha (Secular),102102,BAIJAYANTI DEVI,Rashtriya Janata Dal,76325,25777
S0495,BIHAR,KANTI,AJIT KUMAR,Janata Dal (United),117299,MOHAMMAD ISRAIL MANSURI,Rashtriya Janata Dal,91504,25795
S04227,BIHAR,IMAMGANJ,DEEPA KUMARI,Hindustani Awam Morcha (Secular),104861,RITU PRIYA CHAUDHARY,Rashtriya Janata Dal,79005,25856
S04230,BIHAR,GAYA TOWN,PREM KUMAR,Bharatiya Janata Party,90878,AKHAURY ONKAR NATH,Indian National Congress,64455,26423
S043,BIHAR,NARKATIAGANJ,SANJAY KUMAR PANDEY,Bharatiya Janata Party,100044,DEEPAK YADAV,Rashtriya Janata Dal,73586,26458
S045,BIHAR,LAURIYA,VINAY BIHARI,Bharatiya Janata Party,96510,RAN KAUSHAL PRATAP SINGH,Vikassheel Insaan Party,69544,26966
S0457,BIHAR,BAISI,GHULAM SARWAR,All India Majlis-E-Ittehadul Muslimeen,92766,VINOD KUMAR,Bharatiya Janata Party,65515,27251
S04237,BIHAR,NAWADA,VIBHA DEVI,Janata Dal (United),87423,KAUSHAL YADAV,Rashtriya Janata Dal,59829,27594
S04236,BIHAR,HISUA,ANIL SINGH,Bharatiya Janata Party,95885,NITU KUMARI,Indian National Congress,68036,27849
