constituency_code,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S2220,THOUSAND LIGHTS,PRABHAKAR.J.C.D,Tamilaga Vettri Kazhagam,58965,EZHILAN NAGANATHAN,Dravida Munnetra Kazhagam,43824,15141
S2282,ATTUR,JAYASANKARAN. A.P.,All India Anna Dravida Munnetra Kazhagam,80843,SELVABHARATHI. R.,Tamilaga Vettri Kazhagam,65525,15318
S22112,AVANASHI,KAMALI.S,Tamilaga Vettri Kazhagam,84209,DR. L. MURUGAN,Bharatiya Janata Party,68836,15373
S2237,KANCHEEPURAM,R.V. RANJITHKUMAR,Tamilaga Vettri Kazhagam,91350,V. SOMASUNDARAM,All India Anna Dravida Munnetra Kazhagam,75862,15488
S22155,CUDDALORE,B.RAJKUMAR,Tamilaga Vettri Kazhagam,70856,A.S.CHANDARASEKARAN,Indian National Congress,55337,15519
S22148,KUNNAM,SIVASANKAR. S.S,Dravida Munnetra Kazhagam,87237,SARANYA. A,All India Anna Dravida Munnetra Kazhagam,71680,15557
S22232,PADMANABHAPURAM,CHELLASWAMY. R,Communist Party of India (Marxist),68938,KRISHNA KUMAR. S,Tamilaga Vettri Kazhagam,53369,15569
S22126,MADATHUKULAM,R JAYARAMAKRISHNAN,Dravida Munnetra Kazhagam,70458,C SHANMUGAVELU,Amma Makkal Munnettra Kazagam,54490,15968
S2249,JOLARPET,VEERAMANI K.C.,All India Anna Dravida Munnetra Kazhagam,78633,MUNISAMY C,Tamilaga Vettri Kazhagam,62550,16083
S22227,NANGUNERI,REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,74952,RUBY.R.MANOHARAN,Indian National Congress,58533,16419
S22189,MADURAI EAST,KARTHIKEYAN S,Tamilaga Vettri Kazhagam,118777,MOORTHY P,Dravida Munnetra Kazhagam,102230,16547
S22212,MUDHUKULATHUR,R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,68003,MALARVIZHI. B,Tamilaga Vettri Kazhagam,51405,16598
S22106,GOBICHETTIPALAYAM,SENGOTTAIYAN.K.A,Tamilaga Vettri Kazhagam,82612,NALLASIVAM.N,Dravida Munnetra Kazhagam,65992,16620
S22101,DHARAPURAM,SATHYABAMA.P,All India Anna Dravida Munnetra Kazhagam,81100,INDIRANI.T,Dravida Munnetra Kazhagam,64373,16727
S22174,THANJAVUR,R. VIJAYSARAVANAN,Tamilaga Vettri Kazhagam,87705,SHAN. RAMANATHAN,Dravida Munnetra Kazhagam,70750,16955
S2214,VILLIVAKKAM,AADHAV ARJUNA,Tamilaga Vettri Kazhagam,66445,KARTHIK MOHAN,Dravida Munnetra Kazhagam,49143,17302
S22145,MUSIRI,M.VIGNESH,Tamilaga Vettri Kazhagam,71281,N.S.KARUNAIRAAJA,Dravida Munnetra Kazhagam,53839,17442
S22191,MADURAI NORTH,A.KALLANAI,Tamilaga Vettri Kazhagam,72853,G.THALAPATHI,Dravida Munnetra Kazhagam,54815,18038
S22168,THIRUVARUR,KALAIVANAN POONDI  K,Dravida Munnetra Kazhagam,93408,VEERAMANI V,Tamilaga Vettri Kazhagam,75260,18148
S22150,JAYANKONDAM,VAITHILINGAM G.,Pattali Makkal Katchi,88992,KANNAN KA.SO.KA.,Dravida Munnetra Kazhagam,70502,18490
S2253,KRISHNAGIRI,MUKUNDHAN.P,Tamilaga Vettri Kazhagam,89374,ASHOKKUMAR.K,All India Anna Dravida Munnetra Kazhagam,70530,18844
S2285,METTUR,VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,86498,MIDHUN CHAKRAVARTHY. M,Dravida Munnetra Kazhagam,67393,19105
